Time (seconds),Bead Width (pixels)
0.0,29.0
0.033366700033366704,32.0
0.1001001001001001,31.0
0.13346680013346682,31.0
0.16683350016683351,29.0
0.2002002002002002,18.0
0.2335669002335669,28.0
0.26693360026693363,28.0
0.3003003003003003,29.0
0.33366700033366703,26.0
0.3670337003670337,32.0
0.4004004004004004,32.0
0.4337671004337671,30.0
0.5672339005672339,31.0
0.6006006006006006,33.0
0.6339673006339673,31.0
0.6673340006673341,15.0
0.7007007007007008,27.0
0.7340674007340674,32.0
0.7674341007674341,27.0
0.8008008008008008,27.0
0.8341675008341676,32.0
0.8675342008675342,32.0
0.9009009009009009,30.0
0.9342676009342676,31.0
1.001001001001001,31.0
1.0343677010343677,33.0
1.0677344010677345,31.0
1.1011011011011012,32.0
1.1678345011678346,31.0
1.234567901234568,30.0
1.2679346012679347,32.0
1.3013013013013013,32.0
1.3346680013346681,31.0
1.3680347013680347,31.0
1.4014014014014016,30.0
1.4347681014347682,32.0
1.4681348014681348,33.0
1.5015015015015016,32.0
1.5348682015348682,30.0
1.6016016016016017,33.0
1.6349683016349683,28.0
1.6683350016683351,33.0
1.7017017017017018,32.0
1.7350684017350684,30.0
1.7684351017684352,28.0
1.8018018018018018,28.0
1.8351685018351687,32.0
1.8685352018685353,31.0
1.901901901901902,32.0
1.9352686019352687,31.0
1.9686353019686353,29.0
2.002002002002002,31.0
2.035368702035369,27.0
2.0687354020687354,33.0
2.1021021021021022,32.0
2.135468802135469,30.0
2.1688355021688355,30.0
2.2022022022022023,33.0
2.2689356022689355,32.0
2.3023023023023024,32.0
2.335669002335669,30.0
2.3690357023690356,30.0
2.4024024024024024,31.0
2.4357691024357693,31.0
2.469135802469136,32.0
2.5025025025025025,31.0
2.5358692025358693,31.0
2.569235902569236,32.0
2.6026026026026026,31.0
2.6359693026359694,33.0
2.6693360026693362,30.0
2.7027027027027026,28.0
2.7360694027360695,31.0
2.7694361027694363,32.0
2.802802802802803,31.0
2.8361695028361695,31.0
2.8695362028695364,32.0
2.902902902902903,33.0
2.9362696029362696,31.0
2.9696363029696364,29.0
3.0030030030030033,31.0
3.0697364030697365,29.0
3.1031031031031033,32.0
3.1364698031364697,31.0
3.1698365031698366,30.0
3.2032032032032034,30.0
3.2365699032365702,30.0
3.3700367033700367,31.0
3.4034034034034035,30.0
3.4701368034701368,30.0
3.5035035035035036,16.0
3.5368702035368704,28.0
3.5702369035702373,30.0
3.6369703036369705,30.0
3.6703370036703373,29.0
3.7037037037037037,32.0
3.7370704037370706,29.0
3.803803803803804,29.0
3.8371705038371706,29.0
3.9039039039039043,29.0
3.9372706039372707,30.0
3.9706373039706375,28.0
4.004004004004004,30.0
4.037370704037371,30.0
4.070737404070738,27.0
4.104104104104104,28.0
4.137470804137471,28.0
4.170837504170838,28.0
4.2042042042042045,29.0
4.237570904237571,31.0
4.270937604270938,28.0
4.3043043043043046,27.0
4.337671004337671,27.0
4.371037704371039,31.0
4.404404404404405,27.0
4.471137804471138,30.0
4.504504504504505,30.0
4.537871204537871,27.0
4.604604604604605,27.0
4.637971304637971,29.0
4.671338004671338,28.0
4.704704704704705,27.0
4.7714381047714385,28.0
4.804804804804805,31.0
4.838171504838172,31.0
4.8715382048715385,31.0
4.904904904904905,30.0
4.938271604938272,31.0
4.971638304971639,32.0
5.005005005005005,30.0
5.038371705038372,28.0
5.071738405071739,28.0
5.105105105105105,30.0
5.138471805138472,31.0
5.171838505171839,25.0
5.205205205205205,26.0
5.238571905238572,44.0
5.271938605271939,27.0
5.305305305305305,27.0
5.3386720053386725,27.0
5.372038705372039,27.0
5.405405405405405,32.0
5.438772105438773,28.0
5.505505505505505,28.0
5.538872205538873,28.0
5.572238905572239,27.0
5.605605605605606,26.0
5.638972305638973,29.0
5.705705705705706,26.0
5.739072405739073,26.0
5.772439105772439,30.0
5.805805805805806,31.0
5.839172505839173,28.0
5.872539205872539,28.0
5.97263930597264,31.0
6.0060060060060065,29.0
6.039372706039373,26.0
6.072739406072739,29.0
6.106106106106107,29.0
6.172839506172839,31.0
6.206206206206207,32.0
6.239572906239573,29.0
6.2729396062729395,31.0
6.306306306306307,45.0
6.339673006339673,28.0
6.37303970637304,28.0
6.406406406406407,28.0
6.439773106439773,31.0
6.4731398064731405,29.0
6.506506506506506,29.0
6.539873206539873,42.0
6.5732399065732405,31.0
6.606606606606607,28.0
6.639973306639973,27.0
6.673340006673341,28.0
6.706706706706707,33.0
6.773440106773441,33.0
6.806806806806807,33.0
6.8401735068401734,30.0
6.873540206873541,31.0
6.906906906906907,31.0
6.9402736069402735,29.0
6.973640306973641,14.0
7.007007007007007,32.0
7.073740407073741,30.0
7.107107107107107,33.0
7.1404738071404745,33.0
7.173840507173841,31.0
7.207207207207207,33.0
7.240573907240575,33.0
7.273940607273941,33.0
7.307307307307307,30.0
7.340674007340675,33.0
7.374040707374041,30.0
7.407407407407407,30.0
7.440774107440775,30.0
7.474140807474141,33.0
7.5075075075075075,31.0
7.540874207540875,33.0
7.574240907574241,32.0
7.607607607607608,32.0
7.640974307640975,32.0
7.674341007674341,30.0
7.707707707707708,32.0
7.741074407741075,32.0
7.774441107774441,29.0
7.807807807807809,31.0
7.841174507841175,33.0
7.874541207874541,31.0
7.907907907907909,31.0
7.941274607941275,33.0
7.974641307974641,30.0
8.008008008008009,34.0
8.041374708041374,29.0
8.074741408074741,32.0
8.108108108108109,32.0
8.141474808141476,33.0
8.174841508174842,31.0
8.208208208208209,33.0
8.241574908241576,29.0
8.274941608274942,31.0
8.308308308308309,31.0
8.341675008341676,30.0
8.375041708375042,32.0
8.408408408408409,31.0
8.441775108441776,31.0
8.475141808475142,32.0
8.541875208541876,32.0
8.575241908575242,31.0
8.608608608608609,31.0
8.641975308641976,35.0
8.675342008675342,31.0
8.70870870870871,31.0
8.742075408742078,32.0
8.775442108775442,15.0
8.80880880880881,33.0
8.842175508842177,29.0
8.875542208875542,33.0
8.90890890890891,32.0
8.942275608942277,32.0
8.975642308975642,31.0
9.00900900900901,31.0
9.042375709042377,37.0
9.075742409075742,30.0
9.10910910910911,31.0
9.142475809142477,31.0
9.175842509175842,31.0
9.20920920920921,32.0
9.242575909242577,30.0
9.275942609275942,28.0
9.30930930930931,31.0
9.342676009342677,26.0
9.376042709376042,30.0
9.40940940940941,32.0
9.442776109442777,32.0
9.476142809476142,30.0
9.50950950950951,31.0
9.542876209542877,31.0
9.576242909576242,29.0
9.60960960960961,31.0
9.642976309642977,34.0
9.676343009676344,29.0
9.70970970970971,31.0
9.743076409743077,31.0
9.776443109776444,32.0
9.80980980980981,32.0
9.843176509843177,30.0
9.876543209876544,31.0
9.976643309976645,31.0
10.01001001001001,32.0
10.043376710043377,30.0
10.076743410076745,32.0
10.143476810143477,31.0
10.176843510176845,30.0
10.21021021021021,32.0
10.243576910243577,35.0
